kor_title,eng_title
일주일 정도 집을 수리하게 되어서 미리 양해를 구하려고요.,I'd like to ask for your understanding in advance because my house will be on repair for a week.
흐엉 씨가 회사원이에요.,Huong is an office worker.
홍차가 아닙니다.,It's not black tea.
줄기세포가 그런 논쟁에서 자유로워졌다고 하기에는 아직 좀 이른 감이 있긴 하지.,It's true that it's a little early to say that stem cells are free from such debate.
새로 생긴 식당에 가 볼까요?,Shall we go to the new restaurant?
소리가 잘 안 들리는 데다가 갑자기 전화가 끊어져요.,The sound is not heard very well and additionally the phone is suddenly cut off.
영화 음악뿐만 아니라 배우들의 연기도 훌륭했어.,Not only the music of the movie but also the actors' acting was great.
빨래방 이용이 처음이라서 그런데 이용 방법을 좀 알려 주세요.,"It's my first time using a laundromat, please tell me how to use."
이번 주말에 패션쇼에 갈 건데 같이 갈래?,I am going to go to a fashion show this weekend. Will you come with me?
서연 씨한테 한번 물어보세요.,Why don't you ask Ms. Seoyon?
지금 뭐 하고 계세요?,What are you doing now?
놀이 기구는 뭐부터 탈까?,Which ride shall we go on first?
전에 핸드폰 화면이 안 나올 때 어떻게 하는지 읽었던 것 같아요.,"I think, last time, I read about what to do when my phone screen does not show up."
그런 이유도 있을 테지만 우리 나라의 주축 산업이 변화하고 있기 때문일 수도 있어.,"That may be a reason, but it could be because our main industry is changing."
그런 안정감은 결혼을 하지 않아도 친구나 애인을 통해서 얻을 수 있다고 봐요.,I believe I can get such stability through friends or a girlfriend without getting married.
혼자 살아서 좀 외로워요.,I feel a bit lonely as I live alone.
집에 애완동물이 있어요?,Is there a pet in your house?
제가 이따가 예약하겠습니다.,I will make a reservation later.
남자 티셔츠를 하나 사려고 하는데요.,I am planning to buy a t-shirt for men.
결혼 준비는 잘돼 가?,Is the wedding planning going well?
귀걸이가 떨어졌는데 안 보여요.,"I dropped my earring, but I can't find it."
이것은 세일 상품이라서 환불이 안 됩니다.,"This is an on-sale item, so you can’t get a refund."
이번 주말에만 10퍼센트 할인하는데 하나 사세요.,It's on sale at 10% discount only on this weekend. Please buy one.
저는 클래식 음악을 안 좋아해요.,I don't like classical music.
다니엘 씨는 스티브 씨의 남동생이에요.,Mr. Daniel is Mr. Steve's younger brother. 
사람들 앞에서 너무 잘 보이려고 들면 그게 너를 더 긴장하게 만들 수 있어.,"If you try to look too good in public, it can make you more nervous."
운동도 할 겸 친목도 다질 겸 조기 축구회에 나가고 있어.,I go to a morning soccer club to excersize and to build a friendship.
공강 시간을 활용해서 일을 하는 거라서 수업을 들으면서 할 만해.,It seems like a job to do to use the free time to work and still be able to take classes.
아마 친구도 그 선물을 좋아할 거예요.,"Maybe, my friend will like the present."
하늘이 정말 뿌옇다.,The sky is really hazy.
재미있긴 뭐가 재미있어? 지하철 붐빌 땐 얼마나 불편한데.,What's so fun about it? It's so inconvenient when the subway is crowded.
그 덕분에 여름이건 겨울이건 생활하는 데 불편함이 없었대.,"Thanks to it, people didn't feel uncomfortable living no matter in summer or winter."
우리 여기에서 같이 사진 한 장 찍자.,Let's take a picture together here.
저기는 많이 뜨겁니?,Is it very hot over there?
내가 밖에서 소리를 질러 댔는데 아직도 목이 아픈 것 같아.,I yelled outside and still feel like my throat hurts.
서연 씨도 스티브 씨를 좋아하는 것 같아요?,"Do you think Ms. Seoyon also likes you, Mr. Steve?"
선생님이 집으로 방문하는 한국어 교육 프로그램이 있다지요?,I heard there is a Korean language education program where the teacher visits my home.
회의에서 김 부장님께서 발표하십니까?,Is General Manager Kim going to make a presentation at the meeting?
아무리 급하게 주문했기로서니 이렇게 제품 검수도 제대로 안 하고 보내시면 어떡해요.,"You shouldn't have sent the products without checking them properly, even if we made the order in a hurry."
수영장에 가요.,I am going to the swimming pool.
세종대왕이 만들어 낸 한글은 정말 위대한 업적이라고 생각해.,I think Hangeul made by King Sejong is a great achievement.
햇볕을 잘 쬐어 주기만 하면 돼요.,All you have to do is warming it well under the sunlight.
제가 교환을 하는 거라서 새 물건을 받아야 하거든요.,I should be getting a new product because I'm making an exchange.
헬스클럽이 아주 넓어요.,The fitness club is very large.
내가 매번 이야기하는데도 룸메이트가 달라지지 않아.,My roommate doesn't change even though I talk every time.
바닷가여서 해물이 신선하겠어요.,The seafood must be fresh as it is on the coast.
집이 남향이라서 그래요.,It's because the house is southbound.
급한 일이 아니니까 나중에 다시 걸게요.,"It's not urgent, so I will call later."
여기서는 수면 내시경 검사를 한다고 해서 그걸로 하려고요.,"They said they do a sleep endoscopy here, so I am here for that."
